City,State,Rural/Urban
JAMSHEDPUR,Jharkhand,Urban
JHAJJAR,Haryana,Urban
MUMBAI,Maharashtra,Urban
NAVI MUMBAI,Maharashtra,Urban
ITANAGAR,Arunachal Pradesh,Urban
GURGAON,Haryana,Urban
MOHALI,Punjab,Urban
GUNTUR,Andhra Pradesh,Urban
AHMEDABAD,Gujarat,Urban
THANE,Maharashtra,Urban
PUNE,Maharashtra,Urban
NEW DELHI,Delhi,Urban
SECUNDERABAD,Telangana,Urban
LUCKNOW,Uttar Pradesh,Urban
DELHI,Delhi,Urban
CHENNAI,Tamil Nadu,Urban
HYDERABAD,Telangana,Urban
GHAZIABAD,Uttar Pradesh,Urban
BANGALORE,Karnataka,Urban
GUWAHATI,Assam,Urban
DHANBAD,Jharkhand,Urban
MUKTSAR,Punjab,Urban
SOCORRO,Goa,Urban
ANDHERI (EAST),Maharashtra,Urban
AURANGABAD,Maharashtra,Urban
KOTA,Rajasthan,Urban
JAIPUR,Rajasthan,Urban
MUZAFFARNAGAR,Uttar Pradesh,Urban
BURDWAN,West Bengal,Urban
LUDHIANA,Punjab,Urban
NOIDA,Uttar Pradesh,Urban
AGRA,Uttar Pradesh,Urban
SHAHJAHANPUR,Uttar Pradesh,Urban
DEHRADUN,Uttarakhand,Urban
GODDA,Jharkhand,Urban
REWARI (HARYANA),Haryana,Urban
NELLORE,Andhra Pradesh,Urban
ADIPUR,Gujarat,Urban
DUBAI,United Arab Emirates,Urban
ALLAHABAD,Uttar Pradesh,Urban
BATHINDA,Punjab,Urban
NASHIK,Maharashtra,Urban
JAMMU,Jammu & Kashmir,Urban
JABALPUR,Madhya Pradesh,Urban
KASHIPUR,Uttarakhand,Urban
ETAH,Uttar Pradesh,Urban
KOLKATA,West Bengal,Urban
VADODARA,Gujarat,Urban
TIRUPUR,Tamil Nadu,Urban
SURAT,Gujarat,Urban
NAGO,Thane,Urban
KARUR DT,Tamil Nadu,Urban
INDORE,Madhya Pradesh,Urban
PIMPALI,Maharashtra,Urban
PUMP HINJEWADI,Pune,Urban
KANJURMARG EAST,Mumbai,Urban
SOUTH 24 PARGANAS,West Bengal,Urban
MIRABHAYANDER,Thane,Urban
SAHARANPUR,Uttar Pradesh,Urban
CHANDIGARH,Chandigarh,Urban
GURGAON,Haryana,Urban
GULBARGA,Karnataka,Urban
KANPUR,Uttar Pradesh,Urban
VISAKHAPATNAM,Andhra Pradesh,Urban
HISAR,Haryana,Urban
PATHANKOT,Punjab,Urban
SUNDARGARH,Odisha,Urban
MARGAO,Goa,Urban
DHULE,Maharashtra,Urban
BANGALORE NORTH,Karnataka,Urban
ZIRAKPUR,Punjab,Urban
SURYAPET,Telangana,Urban
BHIWANDI,Maharashtra,Urban
RAJKOT,Gujarat,Urban
AMBEDKAR NAGAR,Uttar Pradesh,Urban
PURI,Odisha,Urban
KERALA,Kerala,Urban
ROURKELA,Odisha,Urban
NEWDELHI,Delhi,Urban
MIRA ROAD E,Mumbai,Urban
BHUBANESHWAR,Odisha,Urban
PANCHKULA,Haryana,Urban
FARIDABAD,Haryana,Urban
JALANDHAR,Punjab,Urban
BAGHPAT,Uttar Pradesh,Urban
RAJPURA,Punjab,Urban
AMBALA,Haryana,Urban
GOREGAON (W),Mumbai,Urban
BHIWANI,Haryana,Urban
KANCHIPURAM,Tamil Nadu,Urban
BARNALA,Punjab,Urban
BHIWADI,Rajasthan,Urban
PARK MAHAPE,Navi Mumbai,Urban
JAMNAGAR,Gujarat,Urban
MANDYA,Karnataka,Urban
THANE VIDYASHRAM,Maharashtra,Urban
JALGAON,Maharashtra,Urban
MYSORE,Karnataka,Urban
MUMBAI,Maharashtra,Urban
KALKA,Haryana,Urban
KOCHI,Kerala,Urban
TRIVANDRUM,Kerala,Urban
MEERUT,Uttar Pradesh,Urban
"GURGAON RD,DUNDHERA",Gurgaon,Urban
